City,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
249,Saldanha,ZA,57.83,-33.0117,17.9442,clear sky,Blue Bay Lodge
251,Portland,US,74.62,45.5234,-122.6762,broken clouds,Embassy Suites by Hilton Portland Downtown
252,Rockhampton,AU,80.49,-23.3833,150.5,clear sky,Mercure Rockhampton
253,Asau,RO,56.32,46.4333,26.4,light rain,Casa Mika Ciobanus
255,Spirit River,CA,61.23,55.7833,-118.8361,scattered clouds,Motel 49
256,Faanui,PF,79.97,-16.4833,-151.75,clear sky,Bora-Bora Pearl Beach Resort & Spa
257,Arkhara,RU,57.9,49.4212,130.0842,overcast clouds,"Gostinitsa ""Arkhara"""
258,Nemuro,JP,64.83,43.3236,145.575,clear sky,Hotel Nemuro Kaiyoutei
259,Blythe,US,81.03,33.6103,-114.5964,broken clouds,Rodeway Inn & Suites
261,North Bend,US,77.94,43.4065,-124.2243,broken clouds,Red Lion Hotel Coos Bay
263,Alta Floresta,BR,71.67,-9.8756,-56.0861,few clouds,Floresta Amazonica Hotel
264,Mangla,PK,82.87,31.8931,72.3817,clear sky,Rana Tariq Aziz House
265,Luanda,AO,71.55,-8.8368,13.2343,overcast clouds,LANDU MARINEZA LUFUANDU TONI
266,Challapata,BO,53.98,-18.9,-66.7667,clear sky,HOSTAL MARIAN
267,Plettenberg Bay,ZA,60.76,-34.0527,23.3716,clear sky,Thanda Vista B&B
268,Oxapampa,PE,59.58,-10.5775,-75.4017,few clouds,Hotel Heidinger
269,Pierre,US,79.0,44.3683,-100.351,clear sky,Ramkota Hotel
270,Port Keats,AU,87.3,-14.25,129.55,clear sky,TDC Village (Hundred Man Camp)
271,Basco,PH,84.4,20.4487,121.9702,few clouds,Nathaniel's Lodge
272,Portel,BR,77.43,-1.9356,-50.8211,moderate rain,Kitnet do Marcos
273,Salisbury,GB,64.29,51.0693,-1.7957,broken clouds,Mercure Salisbury White Hart Hotel
275,Elat,IL,78.64,29.5581,34.9482,clear sky,Club Hotel Eilat
278,Alhama De Murcia,ES,70.88,37.851,-1.4251,overcast clouds,Hotel Los Bartolos - Inicio Reservas
280,El Alto,PE,63.59,-4.2714,-81.2147,scattered clouds,Black Marlin Restaurant & Hospedaje
281,Vila Velha,BR,73.35,-20.3297,-40.2925,scattered clouds,Quality Suites Vila Velha
