City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Oxapampa,PE,-10.5775,-75.4017,59.58,89,17,3.96,few clouds
269,Pierre,US,44.3683,-100.351,79.0,47,1,9.22,clear sky
270,Port Keats,AU,-14.25,129.55,87.3,55,7,7.07,clear sky
271,Basco,PH,20.4487,121.9702,84.4,75,21,13.8,few clouds
272,Portel,BR,-1.9356,-50.8211,77.43,82,100,5.61,moderate rain
273,Salisbury,GB,51.0693,-1.7957,64.29,91,75,16.11,broken clouds
274,Walvis Bay,NA,-22.9575,14.5053,56.08,100,96,4.61,overcast clouds
275,Elat,IL,29.5581,34.9482,78.64,57,0,11.5,clear sky
276,Oksfjord,NO,70.2396,22.3479,52.72,88,100,2.84,overcast clouds
277,Malatya,TR,38.5,38.0,41.05,61,0,9.22,clear sky
278,Alhama De Murcia,ES,37.851,-1.4251,70.88,61,100,0.34,overcast clouds
279,Aklavik,CA,68.2191,-135.0107,34.63,88,98,3.44,overcast clouds
280,El Alto,PE,-4.2714,-81.2147,63.59,85,33,12.55,scattered clouds
281,Vila Velha,BR,-20.3297,-40.2925,73.35,78,40,8.05,scattered clouds
282,Saint-Augustin,CA,51.226,-58.6502,56.16,98,100,5.57,overcast clouds
283,Kawalu,ID,-7.3817,108.2082,74.98,90,100,3.02,overcast clouds
284,Samarai,PG,-10.6167,150.6667,79.63,85,50,12.82,scattered clouds
285,Richards Bay,ZA,-28.783,32.0377,63.39,92,12,5.7,few clouds
286,Kota Tinggi,MY,1.7381,103.8999,85.89,85,100,0.94,overcast clouds
287,Xuddur,SO,4.1213,43.8894,70.47,73,6,14.56,clear sky
288,Muros,ES,42.7762,-9.0603,68.23,83,100,18.61,overcast clouds
289,Saint-Pierre,RE,-21.3393,55.4781,68.29,77,75,0.0,light rain
290,Vao,NC,-22.6667,167.4833,68.36,63,19,4.74,few clouds
291,Verkhnyaya Sinyachikha,RU,57.976,61.6673,35.15,76,100,11.48,overcast clouds
292,Alappuzha,IN,9.49,76.3264,78.69,85,100,11.63,moderate rain
293,New Norfolk,AU,-42.7826,147.0587,56.91,46,40,4.09,light rain
294,Kailua,US,21.4022,-157.7394,89.58,76,75,14.97,light rain
295,Saint-Philippe,RE,-21.3585,55.7679,68.22,87,91,16.73,light rain
296,Oyama,JP,36.3,139.8,74.89,52,2,8.41,clear sky
297,Betare Oya,CM,5.6,14.0833,65.7,93,100,2.53,light rain
298,Burnie,AU,-41.0667,145.9167,51.19,69,98,4.23,overcast clouds
299,Kyaikto,MM,17.3,97.0167,75.43,95,100,8.88,overcast clouds
300,Ratnagiri,IN,16.9833,73.3,76.39,89,52,2.24,broken clouds
301,Laguna,US,38.421,-121.4238,84.24,52,1,5.99,clear sky
302,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,16.11,light intensity drizzle
303,Haines Junction,CA,60.7522,-137.5108,39.15,70,100,2.3,light rain
304,Tubarao,BR,-28.4667,-49.0069,63.72,98,8,1.79,clear sky
305,Vestmannaeyjar,IS,63.4427,-20.2734,43.52,75,100,11.54,overcast clouds
306,Mayo,US,38.8876,-76.5119,67.08,75,1,3.44,clear sky
307,Manica,FR,49.0,-1.1667,60.21,91,100,13.11,light rain
308,Kodinsk,RU,58.6881,99.1844,34.27,98,100,8.14,light rain
309,Tasiilaq,GL,65.6145,-37.6368,32.16,68,15,5.28,few clouds
